train_loss,val_loss,train_accuracy,val_accuracy,train_f1,val_f1,train_precision,val_precision,train_recall,val_recall
1.005426735419601,0.9513646125793457,0.930938472733153,0.9690972222222219,0.7447583059836844,0.8800985464924703,0.7371744895320862,0.8541064588869131,0.9137656853880785,0.9687282379553792
0.9381550829268005,0.9411183508237203,0.9716159834795389,0.9793055555555557,0.9050566330843924,0.9267002993350107,0.8919866769479853,0.9123612204812224,0.9556859818363765,0.969072785613261
0.9311340208070359,0.9357371604442597,0.9774654363908328,0.9834722222222223,0.921770331567667,0.9333708724211245,0.9089210390090863,0.9167334267909261,0.9666102194768706,0.9839255049892642
0.9275022690628785,0.9321639700730642,0.9806405047769207,0.9859722222222227,0.9303877890012187,0.9408326878439904,0.917570384752992,0.9231030571793194,0.975436657929068,0.9868342920268826
0.9251870918245976,0.9306513933340709,0.9826150267480575,0.9871527777777784,0.9352297169167456,0.9456722099064221,0.9235058552000257,0.9302841406179486,0.9772007188302397,0.9846910142655074
0.9234421668969452,0.9328082541624705,0.984316257023892,0.9857638888888891,0.9418082160139271,0.9443378194775504,0.9287460575657963,0.9324684535621751,0.9815848569397939,0.9775942012949054
0.9220105225148263,0.9304311247666677,0.9854153191575387,0.987730263157895,0.94547836382363,0.9465825003309991,0.9329346008900704,0.933145194488079,0.983562323901578,0.9831516902793644
0.9209294880959801,0.9292046284675598,0.9864288986807901,0.9883333333333337,0.9483571778299235,0.9462573863613196,0.9352367336563971,0.9306570685052725,0.9861029086044858,0.9882624914460737
0.9201345698076004,0.9286687060197194,0.9872470893802823,0.9890277777777781,0.9508759888692592,0.950165062950531,0.9377678158841282,0.9348389239152103,0.9880483568347278,0.9884463677610215
0.919674721510441,0.9281720558802287,0.9876745024322557,0.9897222222222226,0.9522898301869523,0.9520834625654216,0.9392461118030566,0.9380178124387083,0.9886198028063372,0.9870170329536203
